Unnamed: 0,number of trials,number of parameters,type of function,accuracy [calc. max/ actual max],time per trial [s],type_of_opt
193,4,2,Trig,0.034791832,0.012623727,CMA-ES
194,9,2,Trig,0.128351083,0.01792166,CMA-ES
195,14,2,Trig,0.175676112,0.009435722,CMA-ES
196,10,2,Trig,0.338786553,0.025821114,CMA-ES
197,10,2,Trig,0.798625882,0.020124006,CMA-ES
198,8,2,Trig,0.241963535,0.018330872,CMA-ES
199,12,2,Trig,0.225686248,0.017684817,CMA-ES
200,11,2,Trig,0.264544255,0.013244456,CMA-ES
201,8,2,Trig,0.722801164,0.008098125,CMA-ES
202,14,2,Trig,0.205231707,0.030955502,CMA-ES
203,17,2,Trig,0.908495265,0.033783352,CMA-ES
204,9,2,Trig,0.209828753,0.02347268,CMA-ES
205,8,2,Trig,0.817460682,0.027339399,CMA-ES
206,8,2,Trig,0.381635294,0.019327134,CMA-ES
207,11,2,Trig,0.19358971,0.026272839,CMA-ES
208,16,2,Trig,0.784982333,0.019770056,CMA-ES
209,7,2,Trig,0.385888007,0.012896674,CMA-ES
210,13,2,Trig,0.110857156,0.012784151,CMA-ES
211,5,2,Trig,0.233011298,0.022325611,CMA-ES
212,11,2,Trig,0.450197543,0.012220079,CMA-ES
213,6,2,Trig,0.056436654,0.017369986,CMA-ES
214,13,2,Trig,0.186737893,0.021740382,CMA-ES
215,10,2,Trig,0.250561991,0.006560206,CMA-ES
216,12,2,Trig,0.300016658,0.017251909,CMA-ES
217,5,2,Trig,0.406188219,0.020462227,CMA-ES
218,7,2,Trig,0.18453283,0.010514021,CMA-ES
219,7,2,Trig,0.698497563,0.024563994,CMA-ES
220,16,2,Trig,0.480506788,0.021321252,CMA-ES
221,13,2,Trig,0.246977391,0.025982838,CMA-ES
222,13,2,trig,0.161196813,0.16564714,L-BFGS-B
223,11,2,trig,0.267364827,0.130102721,L-BFGS-B
224,14,2,trig,0.148769305,0.080897944,L-BFGS-B
225,13,2,trig,0.285706783,0.162086248,L-BFGS-B
226,12,2,trig,0.197344882,0.201139152,L-BFGS-B
227,20,2,trig,0.463692191,0.154380143,L-BFGS-B
228,9,2,trig,0.369327243,0.147678322,L-BFGS-B
229,14,2,trig,0.15791124,0.104523659,L-BFGS-B
230,15,2,trig,0.262557867,0.136461465,L-BFGS-B
231,16,2,trig,0.89162987,0.170143321,L-BFGS-B
232,7,2,trig,0.211562806,0.075166021,L-BFGS-B
233,12,2,trig,0.859684272,0.157576064,L-BFGS-B
234,13,2,trig,0.082220357,0.172627596,L-BFGS-B
235,13,2,trig,0.51552225,0.176434315,L-BFGS-B
236,8,2,trig,0.077485798,0.151937366,L-BFGS-B
237,16,2,trig,0.222069507,0.153048009,L-BFGS-B
238,14,2,trig,0.198275867,0.179697224,L-BFGS-B
239,17,2,trig,0.747863981,0.142323284,L-BFGS-B
240,19,2,trig,0.131918871,0.165584263,L-BFGS-B
241,11,2,trig,0.407028169,0.165204633,L-BFGS-B
242,8,2,trig,0.299809311,0.146492749,L-BFGS-B
243,12,2,trig,0.111135938,0.13422658,L-BFGS-B
244,12,2,trig,0.219230139,0.169226666,L-BFGS-B
245,10,2,trig,0.333030754,0.110343814,L-BFGS-B
246,13,2,trig,0.461680597,0.106884773,L-BFGS-B
247,13,2,trig,0.406663354,0.085196458,L-BFGS-B
248,16,2,trig,0.20992656,0.13835901,L-BFGS-B
249,9,2,trig,0.211939702,0.061356412,L-BFGS-B
250,15,2,trig,0.322627864,0.125124598,L-BFGS-B
251,18,2,trig,0.277188672,0.143605285,L-BFGS-B
252,8,2,trig,0.099520529,0.168271631,L-BFGS-B
253,8,2,trig,0.091248648,0.110490888,L-BFGS-B
254,11,2,trig,0.568497354,0.158796636,L-BFGS-B
255,16,2,trig,0.152780383,0.15329656,L-BFGS-B
256,7,2,trig,0.139947098,0.071508101,L-BFGS-B
257,16,2,trig,0.132108103,0.154892877,L-BFGS-B
258,8,2,trig,0.09478619,0.085741967,L-BFGS-B
259,11,2,trig,0.387669721,0.122424906,L-BFGS-B
260,10,2,trig,0.474985534,0.089945912,L-BFGS-B
261,12,2,trig,0.722760644,0.108065267,L-BFGS-B
262,10,2,trig,0.417565273,0.052294517,L-BFGS-B
263,12,2,trig,0.182266042,0.052361608,L-BFGS-B
264,9,2,trig,0.53924914,0.11843435,L-BFGS-B
265,11,2,linear,0.58720004,0.188158382,L-BFGS-B
266,9,2,linear,0.900636629,0.166191657,L-BFGS-B
267,13,2,linear,0.828660476,0.129132619,L-BFGS-B
268,14,2,linear,0.680348772,0.134141837,L-BFGS-B
269,9,2,linear,1.003165252,0.177649339,L-BFGS-B
270,7,2,linear,0.839066199,0.161182165,L-BFGS-B
271,16,2,linear,0.568945562,0.134259447,L-BFGS-B
272,19,2,linear,0.937528223,0.133376096,L-BFGS-B
273,11,2,linear,0.892383135,0.16141963,L-BFGS-B
274,11,2,linear,0.318537203,0.050245567,L-BFGS-B
275,17,2,linear,0.548524327,0.133722768,L-BFGS-B
276,6,2,linear,0.309949375,0.070561647,L-BFGS-B
277,12,2,linear,0.856264694,0.195050895,L-BFGS-B
278,13,2,linear,0.958608969,0.168574021,L-BFGS-B
279,9,2,linear,0.844054264,0.116632117,L-BFGS-B
280,8,2,linear,0.95582804,0.090041637,L-BFGS-B
281,11,2,linear,0.74142796,0.046620261,L-BFGS-B
282,10,2,linear,0.935885187,0.120808601,L-BFGS-B
283,18,2,linear,0.437157636,0.128651447,L-BFGS-B
284,17,2,linear,0.808638943,0.105318644,L-BFGS-B
285,7,2,linear,0.809348881,0.119555746,L-BFGS-B
286,18,2,linear,0.931580682,0.118602051,L-BFGS-B
287,12,2,linear,0.67273943,0.12209626,L-BFGS-B
288,15,2,linear,0.571201062,0.137878942,L-BFGS-B
289,15,2,linear,0.586403144,0.164003547,L-BFGS-B
290,11,2,linear,0.609052209,0.153182181,L-BFGS-B
291,19,2,linear,0.844194819,0.142823897,L-BFGS-B
292,13,2,linear,0.894593677,0.074805223,L-BFGS-B
293,13,2,linear,0.298512723,0.171312479,L-BFGS-B
294,10,2,linear,0.802511624,0.055438995,L-BFGS-B
295,8,2,linear,0.873491842,0.065779865,L-BFGS-B
296,5,2,linear,0.433504598,0.088505983,L-BFGS-B
297,8,2,linear,0.688649823,0.087693721,L-BFGS-B
298,10,2,linear,0.73452556,0.115795898,L-BFGS-B
299,14,2,linear,0.811220346,0.145905495,L-BFGS-B
300,12,2,linear,0.336718147,0.108726998,L-BFGS-B
301,14,2,linear,0.908179227,0.185396722,L-BFGS-B
302,14,2,linear,0.499633544,0.18474555,L-BFGS-B
303,10,2,linear,0.345113417,0.185201216,L-BFGS-B
304,12,2,linear,1.01508126,0.16601793,L-BFGS-B
305,13,2,linear,0.913890759,0.060164928,L-BFGS-B
306,6,2,linear,0.262404307,0.086179018,L-BFGS-B
307,13,2,linear,0.587733665,0.132865539,L-BFGS-B
308,14,2,linear,0.574716469,0.131339346,L-BFGS-B
309,5,2,linear,0.213612831,0.094152403,L-BFGS-B
310,12,2,linear,0.746510773,0.189491411,L-BFGS-B
311,12,2,linear,0.941311831,0.082297583,L-BFGS-B
312,8,2,linear,0.426058224,0.133362144,L-BFGS-B
313,12,4,linear,0.826144501,0.016593973,CMA-ES
314,14,4,linear,0.358551998,0.016420432,CMA-ES
315,6,4,linear,0.87653402,0.017489354,CMA-ES
316,9,4,linear,0.791382132,0.011494663,CMA-ES
317,15,4,linear,0.947534145,0.013234329,CMA-ES
318,11,4,linear,0.994997128,0.012457826,CMA-ES
319,16,4,linear,0.860105598,0.014479205,CMA-ES
320,19,4,linear,0.804202617,0.017674208,CMA-ES
321,15,4,linear,0.881090744,0.011026748,CMA-ES
322,4,4,linear,0.964489609,0.022066534,CMA-ES
323,9,4,linear,0.79237572,0.017213027,CMA-ES
324,11,4,linear,0.942652401,0.011115811,CMA-ES
325,5,4,linear,0.59396964,0.017042446,CMA-ES
326,15,4,linear,0.746540368,0.022633743,CMA-ES
